epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.0539,1.17851,1.46264,1.22627,0.67872,0.59253,0.6757,0.51046,1.05719,1.00702,1.10653,8.33e-06,8.33e-06,8.33e-06
2,9.35324,1.17955,1.31962,1.25297,0.70436,0.58795,0.68474,0.51783,1.05076,0.98306,1.10186,1.19595e-05,1.19595e-05,1.19595e-05
3,13.4335,1.24097,1.37611,1.26769,0.70647,0.60265,0.6913,0.51964,1.04829,0.97371,1.09857,9.3058e-06,9.3058e-06,9.3058e-06
